14:09:03.681801 config: drop-rate=0.00, max-delay=0s, seed=1510340943680295600
14:09:03.696338 router is listening at :3000
14:09:30.857022 [queue=0] packet #0, 127.0.0.1:8081 -> 127.0.0.1:8080, sz=12 is delivered
14:34:47.187210 [queue=0] packet #0, 127.0.0.1:8081 -> 127.0.0.1:8080, sz=12 is delivered
17:49:31.654127 config: drop-rate=0.00, max-delay=0s, seed=1510786171651438200
17:49:31.656450 router is listening at :3000
17:49:57.850535 [queue=0] packet #0, 127.0.0.1:8081 -> 127.0.0.1:8080, sz=12 is delivered
20:56:40.234749 config: drop-rate=0.00, max-delay=0s, seed=1510970200233748900
20:56:40.235749 router is listening at :3000
20:56:47.649576 [queue=0] packet #0, 127.0.0.1:8081 -> 127.0.0.1:8080, sz=12 is delivered
20:56:47.649576 [queue=0] packet #0, 127.0.0.1:8081 -> 127.0.0.1:8080, sz=12 is delivered
20:56:48.650090 [queue=0] packet #0, 127.0.0.1:8081 -> 127.0.0.1:8080, sz=12 is delivered
20:56:49.651085 [queue=0] packet #0, 127.0.0.1:8081 -> 127.0.0.1:8080, sz=12 is delivered
20:56:50.651716 [queue=0] packet #0, 127.0.0.1:8081 -> 127.0.0.1:8080, sz=12 is delivered
20:56:51.652153 [queue=0] packet #0, 127.0.0.1:8081 -> 127.0.0.1:8080, sz=12 is delivered
20:56:52.653052 [queue=0] packet #0, 127.0.0.1:8081 -> 127.0.0.1:8080, sz=12 is delivered
20:56:53.653446 [queue=0] packet #0, 127.0.0.1:8081 -> 127.0.0.1:8080, sz=12 is delivered
20:56:54.654371 [queue=0] packet #0, 127.0.0.1:8081 -> 127.0.0.1:8080, sz=12 is delivered
20:58:01.777988 [queue=0] packet #0, 127.0.0.1:8081 -> 127.0.0.1:8080, sz=12 is delivered
20:58:01.777988 [queue=0] packet #1, 127.0.0.1:8081 -> 127.0.0.1:8080, sz=12 is delivered
20:58:02.778364 [queue=0] packet #2, 127.0.0.1:8081 -> 127.0.0.1:8080, sz=12 is delivered
20:58:03.778426 [queue=0] packet #3, 127.0.0.1:8081 -> 127.0.0.1:8080, sz=12 is delivered
20:58:04.778467 [queue=0] packet #4, 127.0.0.1:8081 -> 127.0.0.1:8080, sz=12 is delivered
20:58:05.778557 [queue=0] packet #5, 127.0.0.1:8081 -> 127.0.0.1:8080, sz=12 is delivered
20:59:29.600784 [queue=0] packet #0, 127.0.0.1:8081 -> 127.0.0.1:8080, sz=12 is delivered
20:59:29.600784 [queue=0] packet #1, 127.0.0.1:8081 -> 127.0.0.1:8080, sz=12 is delivered
20:59:30.605611 [queue=0] packet #2, 127.0.0.1:8081 -> 127.0.0.1:8080, sz=12 is delivered
20:59:31.606269 [queue=0] packet #3, 127.0.0.1:8081 -> 127.0.0.1:8080, sz=12 is delivered
20:59:32.606628 [queue=0] packet #4, 127.0.0.1:8081 -> 127.0.0.1:8080, sz=12 is delivered
20:59:33.607277 [queue=0] packet #5, 127.0.0.1:8081 -> 127.0.0.1:8080, sz=12 is delivered
20:59:34.607584 [queue=0] packet #6, 127.0.0.1:8081 -> 127.0.0.1:8080, sz=12 is delivered
20:59:35.608361 [queue=0] packet #7, 127.0.0.1:8081 -> 127.0.0.1:8080, sz=12 is delivered
20:59:36.608666 [queue=0] packet #8, 127.0.0.1:8081 -> 127.0.0.1:8080, sz=12 is delivered
20:59:37.609294 [queue=0] packet #9, 127.0.0.1:8081 -> 127.0.0.1:8080, sz=12 is delivered
20:59:51.447752 [queue=0] packet #0, 127.0.0.1:8081 -> 127.0.0.1:8080, sz=12 is delivered
20:59:51.447752 [queue=0] packet #1, 127.0.0.1:8081 -> 127.0.0.1:8080, sz=12 is delivered
